employee_id,full_name,department_id,hire_date
b1f8b714-b2d0-4930-ba57-a30e63a8cd50,Yolanda Clark PhD,9134852e-5e1c-456e-8775-ef2cfc71418a,2024-09-07
9e90c68d-9f47-46c5-9233-ad5cdea40519,Joseph Brooks,471ec0f9-78d6-4ef9-97af-b55c21d23416,2024-12-04
1e5ac031-cf45-4231-80a5-e0526cfd9da4,Lorraine Hester,a57b4ecd-aa90-4ed5-be9e-a1307e47bbff,2021-02-08
7f952821-d6e0-47cd-b2c6-6903c55c20cf,William Benson,9134852e-5e1c-456e-8775-ef2cfc71418a,2024-03-23
b70c831d-d42f-4b1e-afbd-b686544604e8,Jordan Mercado,471ec0f9-78d6-4ef9-97af-b55c21d23416,2021-09-18
1ee92544-7a79-4e86-ae26-d1b9e80f36b4,Christian Sullivan,9134852e-5e1c-456e-8775-ef2cfc71418a,2023-10-04
f9a06018-e5c1-48ec-b334-7877bfb5e6e3,John Frazier,471ec0f9-78d6-4ef9-97af-b55c21d23416,2023-11-05
9f073892-328c-463d-9541-4bfa26f8ff18,Timothy Johnson,d094c790-a01e-49a9-9d57-2668360f17e8,2022-05-12
14ead632-f361-433e-bea2-6e2c204f7ca3,Jeanette Johnson,a57b4ecd-aa90-4ed5-be9e-a1307e47bbff,2022-03-21
05b9cd17-228a-495f-bc26-7f8aed5d9e3f,Jeremy Ortiz,471ec0f9-78d6-4ef9-97af-b55c21d23416,2024-02-23
f2a070d8-6719-4707-b18f-73ae44b48e8c,Darlene Marquez,471ec0f9-78d6-4ef9-97af-b55c21d23416,2024-04-13
108016c2-6025-44bc-b23c-414b65d30e1a,Scott Powers,471ec0f9-78d6-4ef9-97af-b55c21d23416,2021-04-26
3dc3151b-65bb-4f6c-be40-c6aabebc7881,Cheyenne Walls,d094c790-a01e-49a9-9d57-2668360f17e8,2020-11-08
76fb5167-a809-4ba0-b87e-881258129314,Heather Roberson,d094c790-a01e-49a9-9d57-2668360f17e8,2024-09-29
c13bed34-ae80-4725-8186-52d4c9f86dd9,Thomas Gordon,9134852e-5e1c-456e-8775-ef2cfc71418a,2020-12-07
62f93265-40b5-415d-ba28-5bd46c5169f9,Caitlin Moody,9134852e-5e1c-456e-8775-ef2cfc71418a,2024-05-06
666b2f51-607f-4f8d-b264-04ead28bad6b,Michael Silva,bf96aed0-a978-4450-840e-f31527404327,2024-04-30
b155fec3-0541-48ee-abc5-e43ce6c505c0,Kimberly Davis,bf96aed0-a978-4450-840e-f31527404327,2022-11-30
5ade2d26-93f4-4ea2-a3c0-8219abe31299,Alice Peters,bf96aed0-a978-4450-840e-f31527404327,2020-06-10
9d00662e-2988-44f3-bb09-9dc6be5fd3a3,Kelly Brown,d094c790-a01e-49a9-9d57-2668360f17e8,2025-02-20
33f879f8-9a0b-4a0f-8864-9801bae9f6d9,Johnny Rodriguez,9134852e-5e1c-456e-8775-ef2cfc71418a,2022-09-15
a7ceb559-ecd6-402e-9afa-708196d40cfa,Cathy Phillips,bf96aed0-a978-4450-840e-f31527404327,2020-10-22
496eaad3-acce-4187-8ff6-b0f2650ce7d1,Jennifer Norman,d094c790-a01e-49a9-9d57-2668360f17e8,2023-04-11
38f984a1-6209-4b00-a68f-bfbc6c94e221,Rebecca Anderson,471ec0f9-78d6-4ef9-97af-b55c21d23416,2024-03-10
5900d9f9-ee29-497c-ba2c-aa886c1d0ff0,Sherry Decker,9134852e-5e1c-456e-8775-ef2cfc71418a,2021-08-15
da06e88c-531a-4524-92b3-32c8dc780faa,Joseph Barnes,d094c790-a01e-49a9-9d57-2668360f17e8,2020-07-05
be9ff5c3-b535-4cf6-8506-837284a1fe42,Kimberly Lyons,9134852e-5e1c-456e-8775-ef2cfc71418a,2025-05-24
9b937a1c-76b5-420d-8c14-2b22501d469c,Tina Christensen,9134852e-5e1c-456e-8775-ef2cfc71418a,2024-09-03
eeca363d-2096-4749-9c54-60c63aff94f0,Debbie Galloway,bf96aed0-a978-4450-840e-f31527404327,2021-06-23
c2f4ed31-38d9-493b-8300-5cf5b827463c,Martha Ayers,bf96aed0-a978-4450-840e-f31527404327,2022-03-16
2d8ecde3-e1a1-4b24-8b8f-6e7924ad48ea,Heather Moore,bf96aed0-a978-4450-840e-f31527404327,2022-06-07
8adc93c5-1e93-43d8-a5bc-416e007f768d,Phillip Gonzalez,9134852e-5e1c-456e-8775-ef2cfc71418a,2021-12-15
54405854-9a48-43a7-a49f-fa24af939834,Stephen White,d094c790-a01e-49a9-9d57-2668360f17e8,2023-10-16
0bb205e5-ff0f-48fc-8d6a-45e6ef9e36a4,Jeffrey Summers,bf96aed0-a978-4450-840e-f31527404327,2020-11-20
2e849817-c310-4f0f-9e9c-2a51ff7a06c9,Christy Miller,a57b4ecd-aa90-4ed5-be9e-a1307e47bbff,2021-04-09
1741b5f7-84f8-4e1c-aadd-c53f5d5680d5,Mason Smith,a57b4ecd-aa90-4ed5-be9e-a1307e47bbff,2023-02-23
75eb171e-92d6-4886-9260-108fb14679c5,Jack Dodson,471ec0f9-78d6-4ef9-97af-b55c21d23416,2020-08-04
ab72a1ad-5caa-4070-bf94-711fca513e5f,Stacie Campbell,bf96aed0-a978-4450-840e-f31527404327,2024-02-21
c3576637-43e1-4d92-800a-a166a1745e98,Michele Gonzalez,471ec0f9-78d6-4ef9-97af-b55c21d23416,2021-05-26
ff6ccee1-9eaf-424c-b8da-cfcd4124973f,Ryan Norton,d094c790-a01e-49a9-9d57-2668360f17e8,2022-09-01
ff49ceeb-2fa0-49dd-947d-609dca20ce38,Vanessa Jacobs,471ec0f9-78d6-4ef9-97af-b55c21d23416,2022-09-01
99f46ada-25e5-45f8-915a-ca17a9706b68,Daniel Campbell,471ec0f9-78d6-4ef9-97af-b55c21d23416,2022-03-13
c929d6d5-2822-4265-b173-5238b9422444,Sandra Brown,9134852e-5e1c-456e-8775-ef2cfc71418a,2021-10-01
25fea942-e0d4-414b-8196-5359aec5da1b,Courtney Hunter,471ec0f9-78d6-4ef9-97af-b55c21d23416,2024-11-24
ed3c7a90-0553-4651-9bfe-c48509de4246,Sharon Brooks,d094c790-a01e-49a9-9d57-2668360f17e8,2023-06-24
40898d20-e7a6-4d85-83d0-5a36cdd6266e,Amber Moore,471ec0f9-78d6-4ef9-97af-b55c21d23416,2023-09-11
31604e36-0e8a-48c4-8f4d-072cf4ec8d02,Jennifer Stevens,471ec0f9-78d6-4ef9-97af-b55c21d23416,2021-06-05
6a5683f9-251f-44f5-acf2-11019f73b618,Lisa Johnson,a57b4ecd-aa90-4ed5-be9e-a1307e47bbff,2021-02-16
8f8863a6-0ca8-4984-8688-b5f2dc5e8ef8,William Taylor,d094c790-a01e-49a9-9d57-2668360f17e8,2020-10-04
c3c48409-68cf-47df-81d8-047ee10c31f5,Carol Walls,a57b4ecd-aa90-4ed5-be9e-a1307e47bbff,2021-11-27
